id,name,gameName,area,category,lat,lng,precision,priority,anime,status,statusNote,address,access,description,warnings,reliability,gmapsUrl,official,officialUrl,refImage,srcAnime,srcGame,guide,episodes
anime-episode1-18,蒼のお昼寝スポット,,男木島,ランドマーク,34.42604793590732,134.0558949198426,high,,,open,,,,,,3,,,,,true,,true,1
anime-episode2-1,鴎とすれ違う羽依里,,直島,ランドマーク,34.44899683917753,133.9803685723481,high,,,open,,,,,,3,,,,,true,,true,2
anime-episode2-7,鳥白島の少年団の面々,,男木島,ランドマーク,34.42089442607833,134.0548164662086,high,,,open,,,,,,3,,,,,true,,true,2
anime-episode3-1,冒頭シーン,,男木島,ランドマーク,34.41999208754985,134.0591916903718,high,,,open,,,,,,3,,,,,true,,true,3
anime-episode4-2,冥府の入り口,,男木島,ランドマーク,34.42089442607833,134.0548164662086,high,,,open,,,,,,3,,,,,true,,true,4
anime-episode7-1,アニメ版　紬のキービジュアル,,男木島,ランドマーク,34.43345686329111,134.0607319109266,high,,,open,,,,,,3,,,,,true,,true,7
anime-episode7-8,海水浴か,,直島,ランドマーク,34.44599522040998,133.9976056654091,high,,,open,,,,,,3,,,,,true,,true,7
anime-episode9-2,加藤さんとの出会い,,男木島,ランドマーク,34.42230467112471,134.0558768441832,high,,,open,,,,,,3,,,,,true,,true,9
anime-episode12-1,本当にどこででも寝るんだな…,,直島,ランドマーク,34.44599522040998,133.9976056654091,high,,,open,,,,,,3,,,,,true,,true,12
anime-episode12-3,診療所,,男木島,ランドマーク,34.43345686329111,134.0607319109266,high,,,open,,,,,,3,,,,,true,,true,12
anime-episode12-4,魔王怨殺…,,男木島,ランドマーク,34.41999148262738,134.0610827889036,high,,,open,,,,,,3,,,,,true,,true,12
new-ogijima-1,田舎道（アニメ）,,男木島,ランドマーク,34.4256596,134.055868,high,,,open,,,,,座標はGoogle My Mapsピン「田舎道（アニメ）」を参照,3,,,,,true,,true,
